column_name,question_short_es,question_short_en,question_es,question_en,category_short_en,category_short_es,responses_en,responses_en_rec,responses_es,question_en_comp
b2,Respeto a las instituciones,Respect for Political Institutions,¿Hasta qué punto tiene usted respeto por las instituciones políticas de [país]?,To what extent do you respect the political institutions of (country)?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you respect the political institutions of (country)? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b20,Confianza en la Iglesia Católica,Trust in Catholic Church,¿Hasta qué punto tiene confianza usted en la Iglesia Católica?,To what extent do you trust the Catholic Church?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the Catholic Church? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b20a,Confianza en las Iglesias Evangélicas/Protestante,Trust in Evangelical/Protestant Church,¿Hasta qué punto tiene confianza usted en la Iglesia Evangélica/Protestante [Usar el más común en el país]?,To what extent do you trust the Evangelical/Protestant Church [use the most common name in your country]?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the Evangelical/Protestant Church? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b21,Confianza en los partidos políticos,Trust in Political Parties,¿Hasta qué punto tiene confianza usted en los partidos políticos?,To what extent do you trust the political parties?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the political parties? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b21a,Confianza en el ejecutivo,Trust in Executive,¿Hasta qué punto tiene confianza usted en [el presidente/el primer ministro]?,To what extent do you trust the [President/Prime Minister]?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the [President/Prime Minister]? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b3,Los derechos básicos están protegidos,Basic Rights are Protected,¿Hasta qué punto cree usted que los derechos básicos del ciudadano están bien protegidos por el sistema político [país]?,To what extent do you think that citizens' basic rights are well protected by the political system of (country)?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you think that citizens' basic rights are well protected by the political system of (country)? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b31,Confianza en la corte suprema,Trust in the Supreme Court of Justice,¿Hasta qué punto tiene usted confianza en la Corte Suprema de Justicia?,To what extent do you trust the Supreme Court of Justice?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the Supreme Court of Justice? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b32,Confianza en la municipalidad,Trust in Local Government,¿Hasta qué punto tiene usted confianza en su municipalidad?,To what extent do you trust the local or municipal government?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the local or municipal government? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b37,Confianza en los medios de comunicación,Trust in the Media,¿Hasta qué punto tiene usted confianza en los medios de comunicación?,To what extent do you trust the mass media?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the mass media? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b4,Orgullo por el sistema político,Pride in Political System,¿Hasta qué punto se siente usted orgulloso de vivir bajo el sistema político [país]?,To what extent do you feel proud of living under the political system of [country]?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you feel proud of living under the political system of [country]? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b47a,Confianza en las elecciones,Trust in Elections,¿Hasta qué punto tiene usted confianza en las elecciones en este país?,To what extent do you trust elections in this country?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust elections in this country? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b6,Se debería apoyar al sistema político,People Should Support the Political System,¿Hasta qué punto piensa usted que se debe apoyar al sistema político [país]?,To what extent do you think that one should support the political system of (country)?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you think that one should support the political system of (country)? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
cp13,Asistencia a reuniones de partidos políticos,Attendance at Meetings of Political Parties,"Por favor, dígame si usted asiste a las reuniones de estas organizaciones por lo menos una vez a la semana, una o dos veces al mes, una o dos veces al año, o nunca. ¿Reuniones de un partido o movimiento político? Asiste...","Please tell me if you attend meetings of these organizations at least once a week, once or twice a month, once or twice a year, or never. Meetings of a political party or political organization? Do you attend them...",Civic Engagement,Participación cívica,(1) Once a week (2) Once or twice a month (3) Once or twice a year (4) Never,(1) Never (2) Once or twice a month (3) Once or twice a year (4) Once a week ,,"Please tell me if you attend meetings of these organizations at least once a week, once or twice a month, once or twice a year, or never. Meetings of a political party or political organization? Do you attend them... (1) Never (2) Once or twice a month (3) Once or twice a year (4) Once a week "
cp8,Asistencia a reuniones para mejoras comunitarias,Attendance at Meetings for Community Improvements,"Por favor, dígame si usted asiste a las reuniones de estas organizaciones por lo menos una vez a la semana, una o dos veces al mes, una o dos veces al año, o nunca. ¿Reuniones de un comité o junta de mejoras para la comunidad? Asiste...","Please tell me if you attend meetings of these organizations at least once a week, once or twice a month, once or twice a year, or never. Meetings of a community improvement committee or association? Do you attend them...",Civic Engagement,Participación cívica,(1) Once a week (2) Once or twice a month (3) Once or twice a year (4) Never,(1) Never (2) Once or twice a month (3) Once or twice a year (4) Once a week ,,"Please tell me if you attend meetings of these organizations at least once a week, once or twice a month, once or twice a year, or never. Meetings of a community improvement committee or association? Do you attend them... (1) Never (2) Once or twice a month (3) Once or twice a year (4) Once a week "
d3,Aprueba el derecho de críticos a postularse,Approval of Government Critics' Right to Run for Office,Siempre pensando en los que hablan mal de la forma de gobierno de [país]. ¿Con qué firmeza aprueba o desaprueba usted que estas personas puedan postularse para cargos públicos?,"Still thinking of those who only say bad things about the (country) form of government, how strongly do you approve or disapprove of such people being permitted to run for public office?",Tolerance,Tolerancia,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,,"Still thinking of those who only say bad things about the (country) form of government, how strongly do you approve or disapprove of such people being permitted to run for public office? (1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve"
d4,Aprueba el derecho de críticos a hacer un discurso,Approval of Government Critics' Right to Make Speeches,¿Con qué firmeza aprueba o desaprueba usted que estas personas salgan en la televisión para dar un discurso?,How strongly do you approve or disapprove of such people appearing on television to make speeches?,Tolerance,Tolerancia,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,,How strongly do you approve or disapprove of such people appearing on television to make speeches? (1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve
d5,Aprueba el derecho de personas gay a postularse,Approval of Homosexuals' Right to Run for Office,"Y ahora, cambiando el tema, y pensando en los homosexuales. ¿Con qué firmeza aprueba o desaprueba que estas personas puedan postularse para cargos públicos?","And now, changing the topic and thinking of homosexuals, how strongly do you approve or disapprove of such people being permitted to run for public office?",Tolerance,Tolerancia,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,,"And now, changing the topic and thinking of homosexuals, how strongly do you approve or disapprove of such people being permitted to run for public office? (1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve"
d6,Aprueba el derecho a casarse de parejas del mismo sexo,Approval of Same-Sex Couples' Right to Marry,¿Con qué firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tener el derecho a casarse?,How strongly do you approve or disapprove of same-sex couples having the right to marry?,Tolerance,Tolerancia,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,,How strongly do you approve or disapprove of same-sex couples having the right to marry? (1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve
e5,Aprueba la participación en protestas permitidas por ley,Approval of Those Participating in Legal Demonstration,Que las personas participen en manifestaciones permitidas por la ley. ¿Hasta qué punto aprueba o desaprueba?,Of people participating in legal demonstrations. How much do you approve or disapprove?,Tolerance,Tolerancia,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,(1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve,,Of people participating in legal demonstrations. How much do you approve or disapprove? (1) Strongly disapprove (2) (3) (4) (5) (6) (7) (8) (9) (10) Strongly approve
eff1,Gobernantes están interesados en lo que piensa la gente,Leaders Are Interested in What People Think,A los que gobiernan el país les interesa lo que piensa la gente como usted. ¿Hasta qué punto está de acuerdo o en desacuerdo con esta frase?,Those who govern this country are interested in what people like you think. How much do you agree or disagree with this statement?,Evaluations,Evaluaciones,(1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree,(1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree,,Those who govern this country are interested in what people like you think. How much do you agree or disagree with this statement? (1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree
eff2,Entiende los asuntos más importantes del país,Understands Important Political Issues,Usted siente que entiende bien los asuntos políticos más importantes del país. ¿Hasta qué punto está de acuerdo o en desacuerdo con esta frase?,You feel that you understand the most important political issues of this country. How much do you agree or disagree with this statement?,Evaluations,Evaluaciones,(1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree,(1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree,,You feel that you understand the most important political issues of this country. How much do you agree or disagree with this statement? (1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree
env2b,Seriedad del cambio climático,Seriousness of Climate Change,"Si no se hace nada para reducir el cambio climático en el futuro, ¿qué tan serio piensa usted que sería el problema para [país]?","If nothing is done to reduce climate change in the future, how serious of a problem do you think it will be for [country]?",Environment,Ambiente,(1) Very serious (2) Somewhat serious (3) Not so serious (4) Not serious at all,(1) Not serious at all (2) Not so serious (3) Somewhat serious  (4) Very serious,,"If nothing is done to reduce climate change in the future, how serious of a problem do you think it will be for [country]? (1) Not serious at all (2) Not so serious (3) Somewhat serious  (4) Very serious"
exc18,Justifica el pago de coimas o sobornos,Paying a Bribe is Justified,¿Cree que como están las cosas a veces se justifica pagar una coima/soborno?,"Do you think given the way things are, sometimes paying a bribe is justified?",Corruption,Corrupción,(0) No (1) Yes,(0) No (1) Yes,,"Do you think given the way things are, sometimes paying a bribe is justified? (0) No (1) Yes"
exc2,Oficial de policía le solicitó un soborno,Police Officer Asked for a Bribe,¿Algún agente de policía le pidió una coima/soborno en los últimos 12 meses?,Has a police officer asked you for a bribe in the last twelve months?,Corruption,Corrupción,(0) No (1) Yes,(0) No (1) Yes,,Has a police officer asked you for a bribe in the last twelve months? (0) No (1) Yes
exc6,Empleado público le solicitó un soborno,Government Employee Asked for a Bribe,"¿En los últimos 12 meses, algún empleado público le ha solicitado una coima/soborno?","In the last twelve months, did any government employee ask you for a bribe?",Corruption,Corrupción,(0) No (1) Yes,(0) No (1) Yes,,"In the last twelve months, did any government employee ask you for a bribe? (0) No (1) Yes"
exc7,Percepción de corrupción de funcionarios públicos,Perception of Public Corruption among Public Officials,"Teniendo en cuenta su experiencia o lo que ha oído mencionar, ¿la corrupción de los funcionarios públicos en el país está","Taking into account your own experience or what you have heard, corruption among public officials is...",Corruption,Corrupción,(1) Very common (2) Common (3) Uncommon (4) Very uncomon,(1) Very uncomon (2) Uncommon  (3) Common (4) Very common,,"Taking into account your own experience or what you have heard, corruption among public officials is... (1) Very uncomon (2) Uncommon  (3) Common (4) Very common"
exc7new,Cantidad de políticos involucrados en corrupción,Amount of Corruption among Politicians,"Pensando en los políticos de [país], ¿cuántos de ellos cree usted que están involucrados en corrupción?","Thinking of politicians in [country], how many do you believe are involved in corruption?",Corruption,Corrupción,(1) None (2) Less than half (3) Half of them (4) More than half of them (5) All,(1) None (2) Less than half (3) Half of them (4) More than half of them (5) All,,"Thinking of politicians in [country], how many do you believe are involved in corruption? (1) None (2) Less than half (3) Half of them (4) More than half of them (5) All"
fs2,Se ha quedado sin comida en los últimos 3 meses,Has Run Out of Food in Last 3 Months,"En los últimos 3 meses, por falta de dinero u otros recursos, alguna vez ¿en su hogar se quedaron sin alimentos?","In the last 3 months, due to lack of money or resources, did you ever run out of food?",Economy,Economía,(0) No (1) Yes,(0) No (1) Yes,,"In the last 3 months, due to lack of money or resources, did you ever run out of food? (0) No (1) Yes"
gi0n,Frecuencia de ver noticias,Frequency of Watching News,"¿Con qué frecuencia sigue las noticias, ya sea en la televisión, la radio, los periódicos o el Internet?","About how often do you pay attention to the news, whether on TV, the radio, newspapers or the internet?",Civic Engagement,Participación cívica,(1) Daily (2) A few times a week (3) A few times a month (4) Rarely/A few times a year (5) Never,(1) Never (2) Rarely/A few times a year  (3) A few times a month (4) A few times a week (5) Daily,,"About how often do you pay attention to the news, whether on TV, the radio, newspapers or the internet? (1) Never (2) Rarely/A few times a year  (3) A few times a month (4) A few times a week (5) Daily"
idio2,Percepción de situación económica personal,Perception of Personal Economic Situation,"¿Considera usted que su situación económica actual es mejor, igual o peor que la de hace doce meses?","Do you think that your economic situation is better than, the same as, or worse than it was 12 months ago?",Economy,Economía,(1) Better (2) Same (3) Worse,(1) Worse (2) Same (3) Better ,,"Do you think that your economic situation is better than, the same as, or worse than it was 12 months ago? (1) Worse (2) Same (3) Better "
ing4,La democracia es la mejor forma de gobierno,Support for Democracy,"Cambiando de nuevo el tema, puede que la democracia tenga problemas, pero es mejor que cualquier otra forma de gobierno. ¿Hasta qué punto está de acuerdo o en desacuerdo con esta frase?","Changing the subject again, democracy may have problems, but it is better than any other form of government. To what extent do you agree or disagree with this statement?",Democratic Support,Apoyo democrático,(1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree,(1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree,,"Changing the subject again, democracy may have problems, but it is better than any other form of government. To what extent do you agree or disagree with this statement? (1)  Strongly disagree (2) (3) (4) (5) (6) (7) Strongly agree"
it1,Confianza interpersonal,Interpersonal Trust,"Ahora, hablando de la gente de por aquí, ¿diría que la gente de su comunidad es muy confiable, algo confiable, poco confiable o nada confiable?","And speaking of the people from around here, would you say that people in this community are very trustworthy, somewhat trustworthy, not very trustworthy or untrustworthy...?",Evaluations,Evaluaciones,(1) Very trustworthy (2) Somewhat trustworthy (3) Not very trustworthy (4) Untrustworthy,(1) Untrustworthy (2) Not very trustworthy (3) Somewhat trustworthy  (4) Very trustworthy,,"And speaking of the people from around here, would you say that people in this community are very trustworthy, somewhat trustworthy, not very trustworthy or untrustworthy...? (1) Untrustworthy (2) Not very trustworthy (3) Somewhat trustworthy  (4) Very trustworthy"
jc10,Golpe de Estado justificado frente a mucha delincuencia,Coup is Justified when Crime is High,Alguna gente dice que en ciertas circunstancias se justificaría que los militares de este país tomen el poder por un golpe de Estado. En su opinión se justificaría que hubiera un golpe de estado por los militares frente a las siguientes circunstancias... ? Frente a mucha delincuencia.,Some people say that under some circumstances it would be justified for the military of this country to take power by a coup d'état (military coup). In your opinion would a military coup be justified under the following circumstances? When there is a lot of crime,Democratic Support,Apoyo democrático,(1) A military take-over of the state would be justified (2) A military take-over of the state would not be justified,(1)  A military take-over of the state would not be justified (2) A military take-over of the state would be justified,,Some people say that under some circumstances it would be justified for the military of this country to take power by a coup d'état (military coup). In your opinion would a military coup be justified under the following circumstances? When there is a lot of crime (1)  A military take-over of the state would not be justified (2) A military take-over of the state would be justified
jc13,Golpe de Estado justificado frenta a mucha corrupción,Coup is Justified when Corruption is High,Alguna gente dice que en ciertas circunstancias se justificaría que los militares de este país tomen el poder por un golpe de Estado. En su opinión se justificaría que hubiera un golpe de estado por los militares frente a las siguientes circunstancias...? Frente a mucha corrupción.,Some people say that under some circumstances it would be justified for the military of this country to take power by a coup d'état (military coup). In your opinion would a military coup be justified under the following circumstances? When there is a lot of corruption,Democratic Support,Apoyo democrático,(1) A military take-over of the state would be justified (2) A military take-over of the state would not be justified,(1)  A military take-over of the state would not be justified (2) A military take-over of the state would be justified,,Some people say that under some circumstances it would be justified for the military of this country to take power by a coup d'état (military coup). In your opinion would a military coup be justified under the following circumstances? When there is a lot of corruption (1)  A military take-over of the state would not be justified (2) A military take-over of the state would be justified
jc15a,Justifica que ejecutivo gobierne sin legislatura,Executive Justified in Governing without Legislature,"¿Cree usted que cuando el país enfrenta momentos muy difíciles, se justifica que el [ejecutivo] del país cierre [la legislatura] y gobierne sin [la legislatura]?",Do you believe that when the country is facing very difficult times it is justifiable for [the executive] of the country to close the [legislature] and govern without [the legislature]?,Democratic Support,Apoyo democrático,"(1) Yes, it is justified (2) No, it is not justified ","(1) No, it is not justified  (2) Yes, it is justified",,"Do you believe that when the country is facing very difficult times it is justifiable for [the executive] of the country to close the [legislature] and govern without [the legislature]? (1) No, it is not justified  (2) Yes, it is justified"
jc16a,Justifica que el ejecutivo disuelva la corte suprema,Justified for the Executive to Dissolve the Supreme Court,¿Cree usted que cuando el país enfrenta momentos muy difíciles se justifica que el presidente/primer ministro del país disuelva la Corte Suprema de Justicia y gobierne sin la Corte Suprema de Justicia?,Do you believe that when the country is facing very difficult times it is justifiable for the president/prime minister of the country to dissolve the Supreme Court of Justice and govern without the Supreme Court of Justice?,Democratic Support,Apoyo democrático,"(1) Yes, it is justified (2) No, it is not justified ","(1) No, it is not justified  (2) Yes, it is justified",,"Do you believe that when the country is facing very difficult times it is justifiable for the president/prime minister of the country to dissolve the Supreme Court of Justice and govern without the Supreme Court of Justice? (1) No, it is not justified  (2) Yes, it is justified"
l1,Ideología (izquierda / derecha),Ideology (Left / Right),"Cambiando de tema, en esta tarjeta tenemos una escala del 1 a 10 que va de izquierda a derecha, en la que el 1 significa izquierda y el 10 significa derecha. Hoy en día cuando se habla de tendencias políticas, mucha gente habla de aquellos que simpatizan más con la izquierda o con la derecha. Según el sentido que tengan para usted los términos """"izquierda"""" y """"derecha"""" cuando piensa sobre su punto de vista político, ¿dónde se encontraría usted en esta escala? Dígame el número.","Now, to change the subject... On this card there is a 1-10 scale that goes from left to right [liberal to conservative]. The number one means left [liberal] and 10 means right [conservative]. Nowadays, when we speak of political leanings, we talk of those on the left and those on the right [of liberals and conservatives]. In other words, some people sympathize more with the left [liberals] and others with the right [conservatives]. According to the meaning that the terms ""left"" and ""right"" [""liberals"" and ""conservatives""] have for you, and thinking of your own political leanings, where would you place yourself on this scale? Tell me the number.",Beliefs,Creencias,(1) Left/liberal (2) (3) (4) (5) (6) (7) (8) (9) (10) Right/conservative,(1) Left/liberal (2) (3) (4) (5) (6) (7) (8) (9) (10) Right/conservative,,"Now, to change the subject... On this card there is a 1-10 scale that goes from left to right [liberal to conservative]. The number one means left [liberal] and 10 means right [conservative]. Nowadays, when we speak of political leanings, we talk of those on the left and those on the right [of liberals and conservatives]. In other words, some people sympathize more with the left [liberals] and others with the right [conservatives]. According to the meaning that the terms ""left"" and ""right"" [""liberals"" and ""conservatives""] have for you, and thinking of your own political leanings, where would you place yourself on this scale? Tell me the number. (1) Left/liberal (2) (3) (4) (5) (6) (7) (8) (9) (10) Right/conservative"
m1,Aprobación del trabajo del ejecutivo,Executive Job Approval,"Hablando en general acerca del gobierno actual, ¿diría usted que el trabajo que está realizando el Presidente [nombre] es...?","Speaking in general of the current administration, how would you rate the job performance of President [NAME]?",Evaluations,Evaluaciones,(1) Very good (2) Good (3) Neither good nor bad (fair) (4) Bad (5) Very bad,(1) Very bad (2) Bad (3) Neither good nor bad (fair) (4) Good (5) Very good,,"Speaking in general of the current administration, how would you rate the job performance of President [NAME]? (1) Very bad (2) Bad (3) Neither good nor bad (fair) (4) Good (5) Very good"
mil10a,Confiabilidad del gobierno chino,Trustworthiness of Chinese Government,"El gobierno de China. En su opinión, ¿es muy confiable, algo confiable, poco confiable, nada confiable, o no tiene opinión?","The government of China. In your opinion, is it very trustworthy, somewhat trustworthy, not very trustworthy, or not at all trustworthy, or do you not have an opinion?",Foreign relations,Relaciones internacionales,(1) Very trustworthy (2) Somewhat trustworthy (3) Not very trustworthy (4) Not at all trustworthy,(1) Not at all trustworthy (2) Not very trustworthy (3) Somewhat trustworthy (4) Very trustworthy,,"The government of China. In your opinion, is it very trustworthy, somewhat trustworthy, not very trustworthy, or not at all trustworthy, or do you not have an opinion? (1) Not at all trustworthy (2) Not very trustworthy (3) Somewhat trustworthy (4) Very trustworthy"
mil10e,Confiabilidad del gobierno estadounidense,Trustworthiness of US Government,"El gobierno de Estados Unidos. En su opinión, ¿es muy confiable, algo confiable, poco confiable, nada confiable, o no tiene opinión?","The government of the United States. In your opinion, is it very trustworthy, somewhat trustworthy, not very trustworthy, or not at all trustworthy, or do you not have an opinion?",Foreign relations,Relaciones internacionales,(1) Very trustworthy (2) Somewhat trustworthy (3) Not very trustworthy (4) Not at all trustworthy,(1) Not at all trustworthy (2) Not very trustworthy (3) Somewhat trustworthy (4) Very trustworthy,,"The government of the United States. In your opinion, is it very trustworthy, somewhat trustworthy, not very trustworthy, or not at all trustworthy, or do you not have an opinion? (1) Not at all trustworthy (2) Not very trustworthy (3) Somewhat trustworthy (4) Very trustworthy"
np1,Asistencia a una reunión municipal,Attendance at Municipal Meeting,¿Ha asistido a [sesión municipal] durante los últimos 12 meses?,Have you attended a [local meeting] during the last 12 months?,Civic Engagement,Participación cívica,(1) Yes (2) No,(1) No (2) Yes,,Have you attended a [local meeting] during the last 12 months? (1) No (2) Yes
